grantee,table_schema,table_name,privilege_type
service_role,public,audit_logs,UPDATE
anon,public,auth_event_logs,DELETE
anon,public,auth_event_logs,INSERT
anon,public,auth_event_logs,REFERENCES
anon,public,auth_event_logs,SELECT
anon,public,auth_event_logs,TRIGGER
anon,public,auth_event_logs,TRUNCATE
anon,public,auth_event_logs,UPDATE
authenticated,public,auth_event_logs,DELETE
authenticated,public,auth_event_logs,INSERT
authenticated,public,auth_event_logs,REFERENCES
authenticated,public,auth_event_logs,SELECT
authenticated,public,auth_event_logs,TRIGGER
authenticated,public,auth_event_logs,TRUNCATE
authenticated,public,auth_event_logs,UPDATE
postgres,public,auth_event_logs,DELETE
postgres,public,auth_event_logs,INSERT
postgres,public,auth_event_logs,REFERENCES
postgres,public,auth_event_logs,SELECT
postgres,public,auth_event_logs,TRIGGER
postgres,public,auth_event_logs,TRUNCATE
postgres,public,auth_event_logs,UPDATE
service_role,public,auth_event_logs,DELETE
service_role,public,auth_event_logs,INSERT
service_role,public,auth_event_logs,REFERENCES
service_role,public,auth_event_logs,SELECT
service_role,public,auth_event_logs,TRIGGER
service_role,public,auth_event_logs,TRUNCATE
service_role,public,auth_event_logs,UPDATE
anon,public,client_error_logs,DELETE
anon,public,client_error_logs,INSERT
anon,public,client_error_logs,REFERENCES
anon,public,client_error_logs,SELECT
anon,public,client_error_logs,TRIGGER
anon,public,client_error_logs,TRUNCATE
anon,public,client_error_logs,UPDATE
authenticated,public,client_error_logs,DELETE
authenticated,public,client_error_logs,INSERT
authenticated,public,client_error_logs,REFERENCES
authenticated,public,client_error_logs,SELECT
authenticated,public,client_error_logs,TRIGGER
authenticated,public,client_error_logs,TRUNCATE
authenticated,public,client_error_logs,UPDATE
postgres,public,client_error_logs,DELETE
postgres,public,client_error_logs,INSERT
postgres,public,client_error_logs,REFERENCES
postgres,public,client_error_logs,SELECT
postgres,public,client_error_logs,TRIGGER
postgres,public,client_error_logs,TRUNCATE
postgres,public,client_error_logs,UPDATE
service_role,public,client_error_logs,DELETE
service_role,public,client_error_logs,INSERT
service_role,public,client_error_logs,REFERENCES
service_role,public,client_error_logs,SELECT
service_role,public,client_error_logs,TRIGGER
service_role,public,client_error_logs,TRUNCATE
service_role,public,client_error_logs,UPDATE
anon,public,config_change_logs,DELETE
anon,public,config_change_logs,INSERT
anon,public,config_change_logs,REFERENCES
anon,public,config_change_logs,SELECT
anon,public,config_change_logs,TRIGGER
anon,public,config_change_logs,TRUNCATE
anon,public,config_change_logs,UPDATE
authenticated,public,config_change_logs,DELETE
authenticated,public,config_change_logs,INSERT
authenticated,public,config_change_logs,REFERENCES
authenticated,public,config_change_logs,SELECT
authenticated,public,config_change_logs,TRIGGER
authenticated,public,config_change_logs,TRUNCATE
authenticated,public,config_change_logs,UPDATE
postgres,public,config_change_logs,DELETE
postgres,public,config_change_logs,INSERT
postgres,public,config_change_logs,REFERENCES
postgres,public,config_change_logs,SELECT
postgres,public,config_change_logs,TRIGGER
postgres,public,config_change_logs,TRUNCATE
postgres,public,config_change_logs,UPDATE
service_role,public,config_change_logs,DELETE
service_role,public,config_change_logs,INSERT
service_role,public,config_change_logs,REFERENCES
service_role,public,config_change_logs,SELECT
service_role,public,config_change_logs,TRIGGER
service_role,public,config_change_logs,TRUNCATE
service_role,public,config_change_logs,UPDATE
anon,public,correction_log,DELETE
anon,public,correction_log,INSERT
anon,public,correction_log,REFERENCES
anon,public,correction_log,SELECT
anon,public,correction_log,TRIGGER
anon,public,correction_log,TRUNCATE
anon,public,correction_log,UPDATE
authenticated,public,correction_log,DELETE
authenticated,public,correction_log,INSERT
authenticated,public,correction_log,REFERENCES
authenticated,public,correction_log,SELECT
authenticated,public,correction_log,TRIGGER
authenticated,public,correction_log,TRUNCATE
authenticated,public,correction_log,UPDATE
postgres,public,correction_log,DELETE
postgres,public,correction_log,INSERT
postgres,public,correction_log,REFERENCES
postgres,public,correction_log,SELECT
postgres,public,correction_log,TRIGGER
postgres,public,correction_log,TRUNCATE
postgres,public,correction_log,UPDATE
service_role,public,correction_log,DELETE
service_role,public,correction_log,INSERT
service_role,public,correction_log,REFERENCES
service_role,public,correction_log,SELECT
service_role,public,correction_log,TRIGGER
service_role,public,correction_log,TRUNCATE
service_role,public,correction_log,UPDATE
anon,public,empty_location_inventory_log,DELETE
anon,public,empty_location_inventory_log,INSERT
anon,public,empty_location_inventory_log,REFERENCES
anon,public,empty_location_inventory_log,SELECT
anon,public,empty_location_inventory_log,TRIGGER
anon,public,empty_location_inventory_log,TRUNCATE
anon,public,empty_location_inventory_log,UPDATE
authenticated,public,empty_location_inventory_log,DELETE
authenticated,public,empty_location_inventory_log,INSERT
authenticated,public,empty_location_inventory_log,REFERENCES
authenticated,public,empty_location_inventory_log,SELECT
authenticated,public,empty_location_inventory_log,TRIGGER
authenticated,public,empty_location_inventory_log,TRUNCATE
authenticated,public,empty_location_inventory_log,UPDATE
postgres,public,empty_location_inventory_log,DELETE
postgres,public,empty_location_inventory_log,INSERT
postgres,public,empty_location_inventory_log,REFERENCES
postgres,public,empty_location_inventory_log,SELECT
postgres,public,empty_location_inventory_log,TRIGGER
postgres,public,empty_location_inventory_log,TRUNCATE
postgres,public,empty_location_inventory_log,UPDATE
service_role,public,empty_location_inventory_log,DELETE
service_role,public,empty_location_inventory_log,INSERT
service_role,public,empty_location_inventory_log,REFERENCES
service_role,public,empty_location_inventory_log,SELECT
service_role,public,empty_location_inventory_log,TRIGGER
service_role,public,empty_location_inventory_log,TRUNCATE
service_role,public,empty_location_inventory_log,UPDATE
anon,public,empty_location_issues,DELETE
anon,public,empty_location_issues,INSERT
anon,public,empty_location_issues,REFERENCES
anon,public,empty_location_issues,SELECT
anon,public,empty_location_issues,TRIGGER
